osm_id,code,fclass,name,type,center,area
201114060,1500,building,,residential,"(103.83163807142856, 103.83163807142856)",4.546875
201114061,1500,building,,residential,"(103.83235481428572, 103.83235481428572)",4.9765625
201114062,1500,building,,residential,"(103.83187065714286, 103.83187065714286)",4.275390625
201114063,1500,building,,residential,"(103.83178055714286, 103.83178055714286)",4.5849609375
201114064,1500,building,,residential,"(103.83175938571428, 103.83175938571428)",5.24609375
201114065,1500,building,,residential,"(103.83224948571429, 103.83224948571429)",5.24609375
201114066,1500,building,,residential,"(103.83190077142856, 103.83190077142856)",4.8642578125
201114067,1500,building,,residential,"(103.83212677142856, 103.83212677142856)",4.544921875
201114068,1500,building,,residential,"(103.83126257777776, 103.83126257777776)",5.748046875
201275367,1500,building,,residential,"(103.84247047777777, 103.84247047777777)",60.40625
201275424,1500,building,,residential,"(103.8484339, 103.8484339)",8.8271484375
201275448,1500,building,,residential,"(103.84893733999999, 103.84893733999999)",4.740234375
201275455,1500,building,,residential,"(103.84856776000001, 103.84856776000001)",11.4052734375
201275482,1500,building,,residential,"(103.8491841, 103.8491841)",7.1416015625
201275582,1500,building,,residential,"(103.8495496, 103.8495496)",4.619140625
201275822,1500,building,,residential,"(103.84096267142857, 103.84096267142857)",4.421875
201424134,1500,building,,residential,"(103.83959088571429, 103.83959088571429)",3.048828125
201424135,1500,building,,residential,"(103.8395610142857, 103.8395610142857)",3.3466796875
201424248,1500,building,,residential,"(103.8394838857143, 103.8394838857143)",2.9345703125
201424249,1500,building,,residential,"(103.83950945714287, 103.83950945714287)",2.658203125
201424749,1500,building,,residential,"(103.83926345714285, 103.83926345714285)",4.6884765625
201424750,1500,building,,residential,"(103.83926894285715, 103.83926894285715)",5.7900390625
201425826,1500,building,,residential,"(103.83890534285715, 103.83890534285715)",5.013671875
201425827,1500,building,,residential,"(103.83883598571428, 103.83883598571428)",4.4287109375
201425828,1500,building,,residential,"(103.8391159, 103.8391159)",5.7763671875
201425829,1500,building,,residential,"(103.83864652857143, 103.83864652857143)",4.8203125
201425830,1500,building,,residential,"(103.83904869999999, 103.83904869999999)",3.880859375
201425831,1500,building,,residential,"(103.83871584285714, 103.83871584285714)",5.3798828125
201426377,1500,building,,residential,"(103.83843415714286, 103.83843415714286)",6.4736328125
201426379,1500,building,,residential,"(103.83853427142857, 103.83853427142857)",6.8837890625
201451192,1500,building,,residential,"(101.61816219411766, 101.61816219411766)",25.27197265625
201451205,1500,building,,residential,"(101.61821178823527, 101.61821178823527)",23.45703125
201609466,1500,building,,residential,"(103.88689209090909, 103.88689209090909)",33.5654296875
201609940,1500,building,,residential,"(103.88824808000001, 103.88824808000001)",27.958984375
201904067,1500,building,,residential,"(103.88568305999999, 103.88568305999999)",20.7119140625
201904068,1500,building,,residential,"(103.8856034111111, 103.8856034111111)",21.5966796875
201924391,1500,building,,residential,"(103.88726576000002, 103.88726576000002)",23.205078125
201924392,1500,building,,residential,"(103.88668678000002, 103.88668678000002)",24.66796875
201924393,1500,building,,residential,"(103.88661623750001, 103.88661623750001)",35.1201171875
201924395,1500,building,,residential,"(103.88769514705882, 103.88769514705882)",17.9443359375
201924397,1500,building,,residential,"(103.88852129333333, 103.88852129333333)",19.9765625
