distance,driving_time,grid_id,status,supermarket_id
24950.0,2895.0,68,OK,38
20064.0,2361.0,68,OK,39
21717.0,2514.0,69,OK,0
20212.0,2384.0,69,OK,1
19869.0,2353.0,69,OK,2
23173.0,2790.0,69,OK,3
27476.0,3141.0,69,OK,4
19224.0,2215.0,69,OK,5
20065.0,2331.0,69,OK,6
25771.0,2975.0,69,OK,7
26224.0,2964.0,69,OK,8
27342.0,3106.0,69,OK,9
17421.0,1992.0,69,OK,10
21968.0,2534.0,69,OK,11
17835.0,2057.0,69,OK,12
22143.0,2545.0,69,OK,13
19158.0,2186.0,69,OK,14
20212.0,2384.0,69,OK,15
19193.0,2208.0,69,OK,16
25362.0,2830.0,69,OK,17
25848.0,3001.0,69,OK,18
17234.0,1950.0,69,OK,19
19247.0,2221.0,69,OK,22
20038.0,2354.0,69,OK,31
19979.0,2346.0,69,OK,33
19535.0,2254.0,69,OK,34
25499.0,2949.0,69,OK,35
21879.0,2527.0,69,OK,36
24991.0,2902.0,69,OK,38
20105.0,2368.0,69,OK,39
31278.0,3453.0,70,OK,0
30792.0,3208.0,70,OK,1
31586.0,3371.0,70,OK,2
34892.0,3316.0,70,OK,3
24370.0,2452.0,70,OK,4
31282.0,3367.0,70,OK,5
31487.0,3362.0,70,OK,6
26005.0,2563.0,70,OK,7
25157.0,2639.0,70,OK,8
24270.0,2456.0,70,OK,9
32648.0,3698.0,70,OK,10
33108.0,3489.0,70,OK,11
33426.0,3567.0,70,OK,12
31830.0,3349.0,70,OK,13
30820.0,3247.0,70,OK,14
30792.0,3208.0,70,OK,15
31484.0,3368.0,70,OK,16
25914.0,2654.0,70,OK,17
26082.0,2588.0,70,OK,18
33251.0,3533.0,70,OK,19
31294.0,3376.0,70,OK,22
31060.0,3325.0,70,OK,31
31249.0,3310.0,70,OK,33
31425.0,3362.0,70,OK,34
25759.0,2498.0,70,OK,35
31627.0,3291.0,70,OK,36
26503.0,2719.0,70,OK,38
30789.0,3230.0,70,OK,39
31278.0,3453.0,71,OK,0
30792.0,3208.0,71,OK,1
31586.0,3371.0,71,OK,2
34892.0,3316.0,71,OK,3
24370.0,2452.0,71,OK,4
31282.0,3367.0,71,OK,5
31487.0,3362.0,71,OK,6
26005.0,2563.0,71,OK,7
25157.0,2639.0,71,OK,8
24270.0,2456.0,71,OK,9
32648.0,3698.0,71,OK,10
33108.0,3489.0,71,OK,11
33426.0,3567.0,71,OK,12
31830.0,3349.0,71,OK,13
30820.0,3247.0,71,OK,14
30792.0,3208.0,71,OK,15
31484.0,3368.0,71,OK,16
25914.0,2654.0,71,OK,17
26082.0,2588.0,71,OK,18
33251.0,3533.0,71,OK,19
31294.0,3376.0,71,OK,22
31060.0,3325.0,71,OK,31
31249.0,3310.0,71,OK,33
31425.0,3362.0,71,OK,34
25759.0,2498.0,71,OK,35
31627.0,3291.0,71,OK,36
26503.0,2719.0,71,OK,38
30789.0,3230.0,71,OK,39
31145.0,3412.0,72,OK,0
30659.0,3167.0,72,OK,1
31453.0,3330.0,72,OK,2
34759.0,3275.0,72,OK,3
24237.0,2411.0,72,OK,4
31149.0,3326.0,72,OK,5
31354.0,3321.0,72,OK,6
25873.0,2522.0,72,OK,7
25024.0,2598.0,72,OK,8
24137.0,2415.0,72,OK,9
32515.0,3657.0,72,OK,10
32975.0,3448.0,72,OK,11
33293.0,3526.0,72,OK,12
31697.0,3308.0,72,OK,13
30687.0,3206.0,72,OK,14
30659.0,3167.0,72,OK,15
31351.0,3327.0,72,OK,16
25782.0,2613.0,72,OK,17
25949.0,2547.0,72,OK,18
33119.0,3492.0,72,OK,19
31161.0,3335.0,72,OK,22
30927.0,3284.0,72,OK,31
31117.0,3269.0,72,OK,33
31292.0,3320.0,72,OK,34
25626.0,2457.0,72,OK,35
31494.0,3250.0,72,OK,36
26371.0,2678.0,72,OK,38
30657.0,3189.0,72,OK,39
30739.0,3265.0,73,OK,0
30253.0,3020.0,73,OK,1
31047.0,3183.0,73,OK,2
34353.0,3127.0,73,OK,3
23830.0,2264.0,73,OK,4
30743.0,3179.0,73,OK,5
30948.0,3173.0,73,OK,6
25466.0,2375.0,73,OK,7
24618.0,2451.0,73,OK,8
23731.0,2268.0,73,OK,9
32109.0,3510.0,73,OK,10
32569.0,3301.0,73,OK,11
32886.0,3378.0,73,OK,12
31290.0,3161.0,73,OK,13
30281.0,3059.0,73,OK,14
30253.0,3020.0,73,OK,15
30945.0,3180.0,73,OK,16
25375.0,2465.0,73,OK,17
25543.0,2400.0,73,OK,18
32712.0,3345.0,73,OK,19
30755.0,3187.0,73,OK,22
30520.0,3136.0,73,OK,31
30710.0,3122.0,73,OK,33
30885.0,3173.0,73,OK,34
25219.0,2310.0,73,OK,35
31088.0,3103.0,73,OK,36
