left,top,right,bottom,id,district
11155054.94,612925.2518,11156054.94,611925.2518,223,
11155054.94,611925.2518,11156054.94,610925.2518,224,
11155054.94,610925.2518,11156054.94,609925.2518,225,
11155054.94,609925.2518,11156054.94,608925.2518,226,
11155054.94,608925.2518,11156054.94,607925.2518,227,Barat Daya
11155054.94,607925.2518,11156054.94,606925.2518,228,Barat Daya
11155054.94,606925.2518,11156054.94,605925.2518,229,Barat Daya
11155054.94,605925.2518,11156054.94,604925.2518,230,Barat Daya
11155054.94,604925.2518,11156054.94,603925.2518,231,Barat Daya
11155054.94,603925.2518,11156054.94,602925.2518,232,Barat Daya
11155054.94,602925.2518,11156054.94,601925.2518,233,Barat Daya
11155054.94,601925.2518,11156054.94,600925.2518,234,Barat Daya
11155054.94,600925.2518,11156054.94,599925.2518,235,Barat Daya
11155054.94,599925.2518,11156054.94,598925.2518,236,Barat Daya
11155054.94,598925.2518,11156054.94,597925.2518,237,Barat Daya
11155054.94,597925.2518,11156054.94,596925.2518,238,Barat Daya
11155054.94,596925.2518,11156054.94,595925.2518,239,Barat Daya
11155054.94,595925.2518,11156054.94,594925.2518,240,Barat Daya
11155054.94,594925.2518,11156054.94,593925.2518,241,Barat Daya
11155054.94,593925.2518,11156054.94,592925.2518,242,Barat Daya
11155054.94,592925.2518,11156054.94,591925.2518,243,Barat Daya
11155054.94,591925.2518,11156054.94,590925.2518,244,Barat Daya
11155054.94,590925.2518,11156054.94,589925.2518,245,Barat Daya
11155054.94,589925.2518,11156054.94,588925.2518,246,Barat Daya
11155054.94,588925.2518,11156054.94,587925.2518,247,Barat Daya
11155054.94,587925.2518,11156054.94,586925.2518,248,
11155054.94,586925.2518,11156054.94,585925.2518,249,
11155054.94,585925.2518,11156054.94,584925.2518,250,
11155054.94,584925.2518,11156054.94,583925.2518,251,
11155054.94,583925.2518,11156054.94,582925.2518,252,
11155054.94,582925.2518,11156054.94,581925.2518,253,
11155054.94,581925.2518,11156054.94,580925.2518,254,
11155054.94,580925.2518,11156054.94,579925.2518,255,
11155054.94,579925.2518,11156054.94,578925.2518,256,
11155054.94,578925.2518,11156054.94,577925.2518,257,
11155054.94,577925.2518,11156054.94,576925.2518,258,
11155054.94,576925.2518,11156054.94,575925.2518,259,
11155054.94,575925.2518,11156054.94,574925.2518,260,
11155054.94,574925.2518,11156054.94,573925.2518,261,
11155054.94,573925.2518,11156054.94,572925.2518,262,
11155054.94,572925.2518,11156054.94,571925.2518,263,
11155054.94,571925.2518,11156054.94,570925.2518,264,
11155054.94,570925.2518,11156054.94,569925.2518,265,
11156054.94,622925.2518,11157054.94,621925.2518,266,
11156054.94,621925.2518,11157054.94,620925.2518,267,
11156054.94,620925.2518,11157054.94,619925.2518,268,
11156054.94,619925.2518,11157054.94,618925.2518,269,
11156054.94,618925.2518,11157054.94,617925.2518,270,
11156054.94,617925.2518,11157054.94,616925.2518,271,
11156054.94,616925.2518,11157054.94,615925.2518,272,
11156054.94,615925.2518,11157054.94,614925.2518,273,
11156054.94,614925.2518,11157054.94,613925.2518,274,
11156054.94,613925.2518,11157054.94,612925.2518,275,
11156054.94,612925.2518,11157054.94,611925.2518,276,
11156054.94,611925.2518,11157054.94,610925.2518,277,
11156054.94,610925.2518,11157054.94,609925.2518,278,
11156054.94,609925.2518,11157054.94,608925.2518,279,Barat Daya
11156054.94,608925.2518,11157054.94,607925.2518,280,Barat Daya
11156054.94,607925.2518,11157054.94,606925.2518,281,Barat Daya
11156054.94,606925.2518,11157054.94,605925.2518,282,Barat Daya
11156054.94,605925.2518,11157054.94,604925.2518,283,Barat Daya
11156054.94,604925.2518,11157054.94,603925.2518,284,Barat Daya
11156054.94,603925.2518,11157054.94,602925.2518,285,Barat Daya
11156054.94,602925.2518,11157054.94,601925.2518,286,Barat Daya
11156054.94,601925.2518,11157054.94,600925.2518,287,Barat Daya
11156054.94,600925.2518,11157054.94,599925.2518,288,Barat Daya
11156054.94,599925.2518,11157054.94,598925.2518,289,Barat Daya
11156054.94,598925.2518,11157054.94,597925.2518,290,Barat Daya
11156054.94,597925.2518,11157054.94,596925.2518,291,Barat Daya
11156054.94,596925.2518,11157054.94,595925.2518,292,Barat Daya
11156054.94,595925.2518,11157054.94,594925.2518,293,Barat Daya
11156054.94,594925.2518,11157054.94,593925.2518,294,Barat Daya
11156054.94,593925.2518,11157054.94,592925.2518,295,Barat Daya
11156054.94,592925.2518,11157054.94,591925.2518,296,Barat Daya
11156054.94,591925.2518,11157054.94,590925.2518,297,Barat Daya
11156054.94,590925.2518,11157054.94,589925.2518,298,Barat Daya
11156054.94,589925.2518,11157054.94,588925.2518,299,Barat Daya
11156054.94,588925.2518,11157054.94,587925.2518,300,Barat Daya
11156054.94,587925.2518,11157054.94,586925.2518,301,
11156054.94,586925.2518,11157054.94,585925.2518,302,
11156054.94,585925.2518,11157054.94,584925.2518,303,
11156054.94,584925.2518,11157054.94,583925.2518,304,
11156054.94,583925.2518,11157054.94,582925.2518,305,
11156054.94,582925.2518,11157054.94,581925.2518,306,
11156054.94,581925.2518,11157054.94,580925.2518,307,
11156054.94,580925.2518,11157054.94,579925.2518,308,
11156054.94,579925.2518,11157054.94,578925.2518,309,
11156054.94,578925.2518,11157054.94,577925.2518,310,
11156054.94,577925.2518,11157054.94,576925.2518,311,
11156054.94,576925.2518,11157054.94,575925.2518,312,
11156054.94,575925.2518,11157054.94,574925.2518,313,
11156054.94,574925.2518,11157054.94,573925.2518,314,
11156054.94,573925.2518,11157054.94,572925.2518,315,
11156054.94,572925.2518,11157054.94,571925.2518,316,
11156054.94,571925.2518,11157054.94,570925.2518,317,
11156054.94,570925.2518,11157054.94,569925.2518,318,
11157054.94,622925.2518,11158054.94,621925.2518,319,
11157054.94,621925.2518,11158054.94,620925.2518,320,
11157054.94,620925.2518,11158054.94,619925.2518,321,
11157054.94,619925.2518,11158054.94,618925.2518,322,
11157054.94,618925.2518,11158054.94,617925.2518,323,
11157054.94,617925.2518,11158054.94,616925.2518,324,
11157054.94,616925.2518,11158054.94,615925.2518,325,
11157054.94,615925.2518,11158054.94,614925.2518,326,
11157054.94,614925.2518,11158054.94,613925.2518,327,
11157054.94,613925.2518,11158054.94,612925.2518,328,
11157054.94,612925.2518,11158054.94,611925.2518,329,
11157054.94,611925.2518,11158054.94,610925.2518,330,
11157054.94,610925.2518,11158054.94,609925.2518,331,
11157054.94,609925.2518,11158054.94,608925.2518,332,Barat Daya
11157054.94,608925.2518,11158054.94,607925.2518,333,Barat Daya
11157054.94,607925.2518,11158054.94,606925.2518,334,Barat Daya
11157054.94,606925.2518,11158054.94,605925.2518,335,Barat Daya
11157054.94,605925.2518,11158054.94,604925.2518,336,Barat Daya
11157054.94,604925.2518,11158054.94,603925.2518,337,Barat Daya
11157054.94,603925.2518,11158054.94,602925.2518,338,Barat Daya
11157054.94,602925.2518,11158054.94,601925.2518,339,Barat Daya
11157054.94,601925.2518,11158054.94,600925.2518,340,Barat Daya
11157054.94,600925.2518,11158054.94,599925.2518,341,Barat Daya
11157054.94,599925.2518,11158054.94,598925.2518,342,Barat Daya
11157054.94,598925.2518,11158054.94,597925.2518,343,Barat Daya
11157054.94,597925.2518,11158054.94,596925.2518,344,Barat Daya
11157054.94,596925.2518,11158054.94,595925.2518,345,Barat Daya
11157054.94,595925.2518,11158054.94,594925.2518,346,Barat Daya
11157054.94,594925.2518,11158054.94,593925.2518,347,Barat Daya
11157054.94,593925.2518,11158054.94,592925.2518,348,Barat Daya
11157054.94,592925.2518,11158054.94,591925.2518,349,Barat Daya
11157054.94,591925.2518,11158054.94,590925.2518,350,Barat Daya
11157054.94,590925.2518,11158054.94,589925.2518,351,Barat Daya
11157054.94,589925.2518,11158054.94,588925.2518,352,Barat Daya
11157054.94,588925.2518,11158054.94,587925.2518,353,
11157054.94,587925.2518,11158054.94,586925.2518,354,
11157054.94,586925.2518,11158054.94,585925.2518,355,
11157054.94,585925.2518,11158054.94,584925.2518,356,
11157054.94,584925.2518,11158054.94,583925.2518,357,
11157054.94,583925.2518,11158054.94,582925.2518,358,
11157054.94,582925.2518,11158054.94,581925.2518,359,
11157054.94,581925.2518,11158054.94,580925.2518,360,
11157054.94,580925.2518,11158054.94,579925.2518,361,
11157054.94,579925.2518,11158054.94,578925.2518,362,
11157054.94,578925.2518,11158054.94,577925.2518,363,
11157054.94,577925.2518,11158054.94,576925.2518,364,
11157054.94,576925.2518,11158054.94,575925.2518,365,
11157054.94,575925.2518,11158054.94,574925.2518,366,
11157054.94,574925.2518,11158054.94,573925.2518,367,
11157054.94,573925.2518,11158054.94,572925.2518,368,
11157054.94,572925.2518,11158054.94,571925.2518,369,
11157054.94,571925.2518,11158054.94,570925.2518,370,
11157054.94,570925.2518,11158054.94,569925.2518,371,
11158054.94,622925.2518,11159054.94,621925.2518,372,
11158054.94,621925.2518,11159054.94,620925.2518,373,
11158054.94,620925.2518,11159054.94,619925.2518,374,
11158054.94,619925.2518,11159054.94,618925.2518,375,
11158054.94,618925.2518,11159054.94,617925.2518,376,
11158054.94,617925.2518,11159054.94,616925.2518,377,
11158054.94,616925.2518,11159054.94,615925.2518,378,
11158054.94,615925.2518,11159054.94,614925.2518,379,
11158054.94,614925.2518,11159054.94,613925.2518,380,
11158054.94,613925.2518,11159054.94,612925.2518,381,
11158054.94,612925.2518,11159054.94,611925.2518,382,
11158054.94,611925.2518,11159054.94,610925.2518,383,
