id,name,type,area,center_lng,center_lat
2641,,apartments,439.97217061158113,100.3978384,5.430132700000001
2642,,apartments,439.798766323406,100.39777512500001,5.43007
2643,,apartments,439.972437729797,100.3982044,5.4297667
2644,,apartments,439.972485950307,100.3981398,5.4297006
2645,,apartments,439.76361953548314,100.39856345,5.4293771500000005
2646,,apartments,439.76366122865613,100.39848625000002,5.42931995
2647,,apartments,439.76390636950316,100.39889735,5.42898395
2648,,apartments,440.14169121717464,100.39882195,5.428925
2649,,apartments,439.93996325494936,100.39794409999999,5.4293002999999995
2650,,apartments,439.9399658064443,100.3980375,5.4292967
2651,,apartments,439.9403414097705,100.3979531,5.428782
2652,,apartments,439.9403414474588,100.39804470000001,5.428782
2653,,apartments,439.9403400960656,100.3981398,5.4287838
2654,,apartments,439.35855075928896,100.39823495,5.428787399999999
2655,,apartments,440.175856751207,100.3983536,5.4282579
2656,,apartments,439.83468638391764,100.398351225,5.428350224999999
2657,,apartments,439.83482898766886,100.398356725,5.428154725000001
2658,,apartments,439.59149794587927,100.3983558,5.4280624500000005
2659,,apartments,259.4360696216193,100.39804137499999,5.4281937000000005
2660,,apartments,259.5904616686115,100.39795185,5.428190825
2661,,apartments,259.59023948127606,100.39834415,5.428706825000001
2662,,apartments,259.5902376821371,100.39843585,5.428711175
2663,,apartments,259.59001812253126,100.39813665,5.429221025
2664,,apartments,259.630418042749,100.39823385,5.4292254
2665,,apartments,259.61708578122494,100.39874055,5.42867315
2666,,apartments,259.61441202549696,100.3987427,5.4285796500000005
2667,,apartments,439.85490136371817,100.3991344,5.428204299999999
2668,,apartments,439.8549290505888,100.3992183,5.4281662
2669,,apartments,284.27243262132833,100.3989163,5.4282148
2670,,apartments,284.27245225044953,100.3990013,5.4281732
2671,,apartments,284.35480135599346,100.398721,5.427774
2672,,apartments,284.3548192035369,100.3988018,5.427736
2673,,apartments,284.35483974309875,100.3989039,5.4276924
2674,,apartments,284.354856152566,100.398987,5.4276578
2675,,apartments,407.64790675442214,100.398420875,5.42786985
2676,,apartments,407.7246313955435,100.39838195,5.42779075
2677,,bungalow,340.0835280229425,100.48561623333335,5.330050466666667
2678,,bungalow,447.9382575142226,100.48526079999999,5.3301303625
2679,,bungalow,445.60574830428186,100.48499263749999,5.3301424125
2680,,bungalow,630.6440907224494,100.48476404999998,5.3301978666666665
2681,,bungalow,341.3246863977621,100.48381934999999,5.3304849333333335
2682,,bungalow,341.3535182355076,100.48398013333333,5.330446133333333
2683,,bungalow,341.04915382406085,100.48414029999999,5.330401233333333
2684,,bungalow,390.2991849103401,100.4843134,5.330329233333334
2685,,bungalow,338.8279254980535,100.48349675000001,5.330510266666667
2686,,bungalow,307.96019097701253,100.48365789999998,5.3304876666666665
2687,,bungalow,260.12730283934724,100.4846285,5.3297571
2688,,bungalow,551.9725774605631,100.48446745,5.329793966666666
2689,,bungalow,493.90865968997383,100.483926525,5.32995705
2690,,bungalow,384.4124968532198,100.48410101666667,5.329872616666667
2691,,bungalow,384.20911834803246,100.4842635,5.329839316666667
2692,,bungalow,260.0639012623556,100.48478653333332,5.329714383333333
2693,,bungalow,315.7160390251341,100.48494653333334,5.3296601500000005
2694,,bungalow,315.77183384574045,100.48510758333333,5.329611583333333
2695,,bungalow,260.1450798809996,100.48526808333332,5.3295886
2696,,bungalow,298.26394328825694,100.48543180000001,5.329555750000001
2697,,bungalow,764.9729456116617,100.48794183333334,5.343359022222223
2698,,bungalow,792.8856593867912,100.48817410000002,5.343280316666667
2699,,bungalow,302.1689419403147,100.48901017499999,5.339576237499999
2700,,bungalow,160.56256614068337,100.49061174166667,5.338022933333332
2701,,bungalow,214.70495228001693,100.48370296666667,5.3341101
2702,,bungalow,214.70498928127114,100.48404846666666,5.3340044
2703,,bungalow,214.70502638509132,100.48439766666667,5.3338983
2704,,bungalow,214.67641283261742,100.48451216666666,5.333865516666666
2705,,bungalow,214.70504774329592,100.48462096666667,5.3338373
2706,,bungalow,220.39802066024396,100.48394675,5.334069450000001
2707,,bungalow,220.30793902775443,100.48383235000001,5.3341017
2708,,bungalow,257.9108719356063,100.4841854,5.3340172
2709,,bungalow,257.3312282322382,100.4843017,5.33398665
